2025-01-31 14:50:47.022 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 15:19:07.640 [Test worker] WARN  Main - Invalid log level: INVALID. Using default level DEBUG
2025-01-31 15:45:37.558 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser:   Test   Message  
2025-01-31 15:45:37.574 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:45:39.653 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: Test Message
2025-01-31 15:45:39.660 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:45:41.693 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: test message
2025-01-31 15:45:41.698 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:45:43.774 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 15:45:43.782 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 2
2025-01-31 15:45:43.842 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 3
2025-01-31 15:45:43.851 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 15:45:43.896 [Test worker] WARN  Main - Invalid log level: INVALID. Using default level DEBUG
2025-01-31 15:52:25.096 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser:   Test   Message  
2025-01-31 15:52:25.124 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:52:27.421 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:52:27.427 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:52:29.548 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: Test Message
2025-01-31 15:52:29.554 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:52:31.617 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:52:31.630 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser2: <empty>
2025-01-31 15:52:31.640 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: test message
2025-01-31 15:52:31.642 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:52:33.721 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:52:33.725 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:52:33.749 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 15:52:33.758 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 2
2025-01-31 15:52:33.767 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 3
2025-01-31 15:52:33.781 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 15:53:31.515 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 15:53:31.569 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser2: null
2025-01-31 15:53:31.628 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 15:53:31.641 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 15:53:31.683 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser:   Test   Message  
2025-01-31 15:53:31.689 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:53:33.922 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:53:33.936 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:53:35.995 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 15:53:36.037 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:53:38.095 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: Test Message
2025-01-31 15:53:38.101 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:53:40.160 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:53:40.245 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser2: <empty>
2025-01-31 15:53:40.266 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: test message
2025-01-31 15:53:40.269 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 15:53:42.351 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:53:42.357 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: <empty>
2025-01-31 15:53:42.387 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
